Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Pocillopora,21,0,70,1,20
KS,LTER_Exp,Acropora,21,0,100,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Acropora,8,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,27,0,100,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,42,20,20,1,20
KS,LTER_Exp,Pocillopora,25,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Pocillopora,46,0,75,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,29,0,90,1,20
KS,LTER_Exp,Pocillopora,26,0,100,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,30,20,0,1,20
KS,LTER_Exp,Pocillopora,45,0,100,1,20
KS,LTER_Exp,Pocillopora,33,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,32,0,100,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,10,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,100,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Pocillopora,6,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
